CROP,IDREGION,year,yield
Soft wheat,NL11,2010,9.1
Spring barley,NL42,2010,5.5
Sugar beet,NL42,2010,71.0
Total potatoes,NL42,2010,54.4
Soft wheat,NL42,2010,8.4
Spring barley,NL41,2010,4.8
Sugar beet,NL41,2010,72.9
Total potatoes,NL41,2010,49.9
Soft wheat,NL41,2010,9.0
Spring barley,NL32,2010,6.8
Sugar beet,NL32,2010,77.0
Total potatoes,NL32,2010,41.1
Soft wheat,NL32,2010,9.0
Spring barley,NL21,2010,5.3
Sugar beet,NL21,2010,68.3
Total potatoes,NL21,2010,38.7
Soft wheat,NL21,2010,6.9
Spring barley,NL31,2010,4.0
Sugar beet,NL31,2010,66.0
Total potatoes,NL31,2010,43.4
Soft wheat,NL31,2010,8.8
Spring barley,NL34,2010,7.0
Sugar beet,NL34,2010,80.0
Total potatoes,NL34,2010,42.1
Soft wheat,NL34,2010,9.2
Spring barley,NL33,2010,7.6
Sugar beet,NL33,2010,77.0
Total potatoes,NL33,2010,49.0
Soft wheat,NL33,2010,9.5
Spring barley,NL13,2011,5.8
Sugar beet,NL13,2011,75.8
Total potatoes,NL13,2011,43.8
Soft wheat,NL13,2011,5.9
Spring barley,NL23,2011,7.1
Sugar beet,NL23,2011,89.7
Total potatoes,NL23,2011,49.0
Soft wheat,NL23,2011,9.0
Spring barley,NL12,2011,6.8
Sugar beet,NL12,2011,75.8
Total potatoes,NL12,2011,36.1
Soft wheat,NL12,2011,7.4
Spring barley,NL22,2011,5.6
Sugar beet,NL22,2011,76.9
Total potatoes,NL22,2011,48.1
Soft wheat,NL22,2011,7.3
Spring barley,NL11,2011,6.4
Sugar beet,NL11,2011,75.8
Total potatoes,NL11,2011,42.3
Soft wheat,NL11,2011,8.2
Spring barley,NL42,2011,5.4
Sugar beet,NL42,2011,80.4
Total potatoes,NL42,2011,60.2
Soft wheat,NL42,2011,8.4
Spring barley,NL41,2011,6.1
Sugar beet,NL41,2011,80.7
Total potatoes,NL41,2011,54.4
Soft wheat,NL41,2011,7.8
Spring barley,NL32,2011,4.9
Sugar beet,NL32,2011,79.4
Total potatoes,NL32,2011,36.5
Soft wheat,NL32,2011,8.1
Spring barley,NL21,2011,5.2
Sugar beet,NL21,2011,75.8
Total potatoes,NL21,2011,43.3
Soft wheat,NL21,2011,6.7
Spring barley,NL31,2011,5.7
Sugar beet,NL31,2011,76.9
Total potatoes,NL31,2011,45.3
Soft wheat,NL31,2011,5.4
Spring barley,NL34,2011,6.0
Sugar beet,NL34,2011,81.0
Total potatoes,NL34,2011,45.9
Soft wheat,NL34,2011,8.2
Spring barley,NL33,2011,5.2
Sugar beet,NL33,2011,79.4
Total potatoes,NL33,2011,50.3
Soft wheat,NL33,2011,8.7
Spring barley,NL13,2012,6.9
Sugar beet,NL13,2012,74.4
Total potatoes,NL13,2012,44.1
Soft wheat,NL13,2012,8.3
Spring barley,NL23,2012,7.5
Sugar beet,NL23,2012,90.5
Total potatoes,NL23,2012,48.1
Soft wheat,NL23,2012,9.6
Spring barley,NL12,2012,6.5
Sugar beet,NL12,2012,77.3
Total potatoes,NL12,2012,38.7
Soft wheat,NL12,2012,8.3
Spring barley,NL22,2012,6.2
Sugar beet,NL22,2012,76.1
Total potatoes,NL22,2012,45.0
Soft wheat,NL22,2012,8.6
Spring barley,NL11,2012,7.0
Sugar beet,NL11,2012,75.2
Total potatoes,NL11,2012,42.4
Soft wheat,NL11,2012,8.9
Spring barley,NL42,2012,6.4
Sugar beet,NL42,2012,77.9
Total potatoes,NL42,2012,53.5
Soft wheat,NL42,2012,8.8
Spring barley,NL41,2012,6.3
Sugar beet,NL41,2012,76.5
Total potatoes,NL41,2012,48.0
Soft wheat,NL41,2012,8.6
Spring barley,NL32,2012,6.8
Sugar beet,NL32,2012,81.9
Total potatoes,NL32,2012,41.4
Soft wheat,NL32,2012,8.8
Spring barley,NL21,2012,6.6
Sugar beet,NL21,2012,74.6
Total potatoes,NL21,2012,45.2
Soft wheat,NL21,2012,7.9
Spring barley,NL31,2012,6.9
Sugar beet,NL31,2012,76.1
Total potatoes,NL31,2012,47.3
Soft wheat,NL31,2012,8.9
Spring barley,NL34,2012,6.4
Sugar beet,NL34,2012,78.4
Total potatoes,NL34,2012,43.8
Soft wheat,NL34,2012,8.5
Spring barley,NL33,2012,7.2
Sugar beet,NL33,2012,81.9
Total potatoes,NL33,2012,50.0
Soft wheat,NL33,2012,8.6
Spring barley,NL13,2013,7.0
Sugar beet,NL13,2013,71.8
Total potatoes,NL13,2013,39.4
Soft wheat,NL13,2013,9.1
Spring barley,NL23,2013,8.3
Sugar beet,NL23,2013,91.7
Total potatoes,NL23,2013,46.0
Soft wheat,NL23,2013,9.9
Spring barley,NL12,2013,6.7
Sugar beet,NL12,2013,75.9
Total potatoes,NL12,2013,37.1
Soft wheat,NL12,2013,9.0
Spring barley,NL22,2013,5.6
Sugar beet,NL22,2013,80.9
Total potatoes,NL22,2013,42.6
Soft wheat,NL22,2013,8.9
Spring barley,NL11,2013,7.2
Sugar beet,NL11,2013,74.6
Total potatoes,NL11,2013,36.7
Soft wheat,NL11,2013,8.7
Spring barley,NL42,2013,6.7
Sugar beet,NL42,2013,77.5
Total potatoes,NL42,2013,54.3
Soft wheat,NL42,2013,8.9
Spring barley,NL41,2013,5.8
Sugar beet,NL41,2013,77.6
Total potatoes,NL41,2013,49.2
Soft wheat,NL41,2013,9.0
Spring barley,NL32,2013,7.0
Sugar beet,NL32,2013,80.2
Total potatoes,NL32,2013,38.3
Soft wheat,NL32,2013,8.9
Spring barley,NL21,2013,6.3
Sugar beet,NL21,2013,71.5
Total potatoes,NL21,2013,37.8
Soft wheat,NL21,2013,7.5
Spring barley,NL31,2013,4.7
Sugar beet,NL31,2013,80.9
Total potatoes,NL31,2013,40.3
Soft wheat,NL31,2013,8.5
Spring barley,NL34,2013,7.1
Sugar beet,NL34,2013,77.5
Total potatoes,NL34,2013,41.7
Soft wheat,NL34,2013,9.0
Spring barley,NL33,2013,6.6
Sugar beet,NL33,2013,79.0
Total potatoes,NL33,2013,47.5
Soft wheat,NL33,2013,9.7
Spring barley,NL13,2014,6.9
Sugar beet,NL13,2014,80.0
Total potatoes,NL13,2014,43.2
Soft wheat,NL13,2014,8.5
Spring barley,NL23,2014,7.5
Sugar beet,NL23,2014,106.1
Total potatoes,NL23,2014,47.2
Soft wheat,NL23,2014,9.6
Spring barley,NL12,2014,6.6
Sugar beet,NL12,2014,91.5
Total potatoes,NL12,2014,36.0
Soft wheat,NL12,2014,9.4
Spring barley,NL22,2014,5.7
Sugar beet,NL22,2014,86.3
Total potatoes,NL22,2014,50.2
Soft wheat,NL22,2014,8.7
Spring barley,NL11,2014,7.3
Sugar beet,NL11,2014,86.8
Total potatoes,NL11,2014,41.1
Soft wheat,NL11,2014,9.6
Spring barley,NL42,2014,6.3
Sugar beet,NL42,2014,90.7
Total potatoes,NL42,2014,57.0
Soft wheat,NL42,2014,9.4
Spring barley,NL41,2014,5.9
Sugar beet,NL41,2014,90.5
Total potatoes,NL41,2014,51.7
Soft wheat,NL41,2014,9.5
Spring barley,NL32,2014,6.7
Sugar beet,NL32,2014,94.4
Total potatoes,NL32,2014,42.1
Soft wheat,NL32,2014,9.4
Spring barley,NL21,2014,6.1
Sugar beet,NL21,2014,78.7
Total potatoes,NL21,2014,44.3
Soft wheat,NL21,2014,8.1
Spring barley,NL31,2014,4.8
Sugar beet,NL31,2014,86.3
Total potatoes,NL31,2014,39.3
Soft wheat,NL31,2014,8.4
Spring barley,NL34,2014,6.8
Sugar beet,NL34,2014,93.1
Total potatoes,NL34,2014,46.4
Soft wheat,NL34,2014,9.4
Spring barley,NL33,2014,6.8
Sugar beet,NL33,2014,94.0
Total potatoes,NL33,2014,50.5
Soft wheat,NL33,2014,10.0
Spring barley,NL13,2015,6.2
Sugar beet,NL13,2015,75.5
Total potatoes,NL13,2015,42.3
Soft wheat,NL13,2015,8.7
Spring barley,NL23,2015,7.6
Sugar beet,NL23,2015,94.4
Total potatoes,NL23,2015,42.7
Soft wheat,NL23,2015,9.6
Spring barley,NL12,2015,6.0
Sugar beet,NL12,2015,75.8
Total potatoes,NL12,2015,37.2
Soft wheat,NL12,2015,8.8
Spring barley,NL22,2015,6.0
Sugar beet,NL22,2015,77.9
Total potatoes,NL22,2015,40.9
Soft wheat,NL22,2015,8.3
Spring barley,NL11,2015,6.9
Sugar beet,NL11,2015,76.0
Total potatoes,NL11,2015,42.0
Soft wheat,NL11,2015,9.0
Spring barley,NL42,2015,6.0
Sugar beet,NL42,2015,78.4
Total potatoes,NL42,2015,50.2
Soft wheat,NL42,2015,9.5
Spring barley,NL41,2015,6.1
Sugar beet,NL41,2015,81.9
Total potatoes,NL41,2015,47.9
Soft wheat,NL41,2015,9.6
Spring barley,NL32,2015,7.4
Sugar beet,NL32,2015,88.8
Total potatoes,NL32,2015,38.5
Soft wheat,NL32,2015,9.6
Spring barley,NL21,2015,6.3
Sugar beet,NL21,2015,76.8
Total potatoes,NL21,2015,43.0
Soft wheat,NL21,2015,8.3
Spring barley,NL31,2015,6.0
Sugar beet,NL31,2015,77.9
Total potatoes,NL31,2015,45.5
Soft wheat,NL31,2015,7.4
Spring barley,NL34,2015,6.8
Sugar beet,NL34,2015,90.7
Total potatoes,NL34,2015,40.8
Soft wheat,NL34,2015,9.6
Spring barley,NL33,2015,7.3
Sugar beet,NL33,2015,91.1
Total potatoes,NL33,2015,44.4
Soft wheat,NL33,2015,10.0
Spring barley,NL13,2016,6.7
Sugar beet,NL13,2016,74.1
Total potatoes,NL13,2016,43.9
Soft wheat,NL13,2016,8.3
Spring barley,NL23,2016,7.4
Sugar beet,NL23,2016,91.0
Total potatoes,NL23,2016,43.5
Soft wheat,NL23,2016,8.7
Spring barley,NL12,2016,6.2
Sugar beet,NL12,2016,75.0
Total potatoes,NL12,2016,36.2
Soft wheat,NL12,2016,8.4
Spring barley,NL22,2016,5.5
Sugar beet,NL22,2016,67.2
Total potatoes,NL22,2016,42.0
Soft wheat,NL22,2016,7.3
Spring barley,NL11,2016,6.3
Sugar beet,NL11,2016,74.8
Total potatoes,NL11,2016,41.2
Soft wheat,NL11,2016,8.2
Spring barley,NL42,2016,5.7
Sugar beet,NL42,2016,61.3
Total potatoes,NL42,2016,44.0
Soft wheat,NL42,2016,6.6
Spring barley,NL41,2016,6.5
Sugar beet,NL41,2016,69.3
Total potatoes,NL41,2016,41.5
Soft wheat,NL41,2016,8.2
Spring barley,NL32,2016,7.7
Sugar beet,NL32,2016,87.5
Total potatoes,NL32,2016,38.9
Soft wheat,NL32,2016,8.2
Spring barley,NL21,2016,6.6
Sugar beet,NL21,2016,72.6
Total potatoes,NL21,2016,45.6
Soft wheat,NL21,2016,7.1
Spring barley,NL31,2016,7.1
Sugar beet,NL31,2016,67.2
Total potatoes,NL31,2016,43.0
Soft wheat,NL31,2016,8.2
Spring barley,NL34,2016,7.0
Sugar beet,NL34,2016,85.9
Total potatoes,NL34,2016,41.1
Soft wheat,NL34,2016,8.2
Spring barley,NL33,2016,6.9
Sugar beet,NL33,2016,86.9
Total potatoes,NL33,2016,42.9
Soft wheat,NL33,2016,8.3
Spring barley,NL13,2017,5.9
Sugar beet,NL13,2017,86.3
Total potatoes,NL13,2017,44.3
Soft wheat,NL13,2017,8.5
Spring barley,NL23,2017,7.1
Sugar beet,NL23,2017,106.4
Total potatoes,NL23,2017,48.2
Soft wheat,NL23,2017,10.0
Spring barley,NL12,2017,7.2
Sugar beet,NL12,2017,88.3
Total potatoes,NL12,2017,38.6
Soft wheat,NL12,2017,9.6
Spring barley,NL22,2017,4.8
Sugar beet,NL22,2017,87.8
Total potatoes,NL22,2017,48.3
Soft wheat,NL22,2017,8.7
Spring barley,NL11,2017,6.6
Sugar beet,NL11,2017,87.7
Total potatoes,NL11,2017,41.5
Soft wheat,NL11,2017,9.1
Spring barley,NL42,2017,4.9
Sugar beet,NL42,2017,88.4
Total potatoes,NL42,2017,55.1
Soft wheat,NL42,2017,8.4
Spring barley,NL41,2017,5.7
Sugar beet,NL41,2017,93.5
Total potatoes,NL41,2017,51.5
Soft wheat,NL41,2017,9.4
Spring barley,NL32,2017,5.3
Sugar beet,NL32,2017,95.9
Total potatoes,NL32,2017,39.1
Soft wheat,NL32,2017,9.7
Spring barley,NL21,2017,6.3
Sugar beet,NL21,2017,86.2
Total potatoes,NL21,2017,46.3
Soft wheat,NL21,2017,6.1
Spring barley,NL31,2017,6.2
Sugar beet,NL31,2017,87.8
Total potatoes,NL31,2017,50.6
Soft wheat,NL31,2017,9.4
Spring barley,NL34,2017,6.8
Sugar beet,NL34,2017,100.0
Total potatoes,NL34,2017,46.1
Soft wheat,NL34,2017,9.0
Spring barley,NL33,2017,7.0
Sugar beet,NL33,2017,95.9
Total potatoes,NL33,2017,51.6
Soft wheat,NL33,2017,9.8
Spring barley,NL13,2018,6.6
Sugar beet,NL13,2018,65.1
Total potatoes,NL13,2018,34.8
Soft wheat,NL13,2018,8.2
Spring barley,NL23,2018,8.2
Sugar beet,NL23,2018,98.1
Total potatoes,NL23,2018,40.8
Soft wheat,NL23,2018,9.7
Spring barley,NL12,2018,7.7
Sugar beet,NL12,2018,81.0
Total potatoes,NL12,2018,32.4
Soft wheat,NL12,2018,9.4
Spring barley,NL22,2018,5.4
Sugar beet,NL22,2018,78.3
Total potatoes,NL22,2018,37.1
Soft wheat,NL22,2018,8.5
Spring barley,NL11,2018,7.2
Sugar beet,NL11,2018,75.1
Total potatoes,NL11,2018,33.0
Soft wheat,NL11,2018,8.9
Spring barley,NL42,2018,6.7
Sugar beet,NL42,2018,69.8
Total potatoes,NL42,2018,42.0
Soft wheat,NL42,2018,8.6
Spring barley,NL41,2018,5.3
Sugar beet,NL41,2018,73.2
Total potatoes,NL41,2018,41.9
Soft wheat,NL41,2018,9.1
Spring barley,NL32,2018,6.5
Sugar beet,NL32,2018,83.3
Total potatoes,NL32,2018,34.8
Soft wheat,NL32,2018,9.0
Spring barley,NL21,2018,6.1
Sugar beet,NL21,2018,65.2
Total potatoes,NL21,2018,34.3
Soft wheat,NL21,2018,7.4
Spring barley,NL31,2018,6.4
Sugar beet,NL31,2018,78.3
Total potatoes,NL31,2018,38.2
Soft wheat,NL31,2018,9.2
Spring barley,NL34,2018,6.2
Sugar beet,NL34,2018,76.0
Total potatoes,NL34,2018,32.7
Soft wheat,NL34,2018,9.2
Spring barley,NL33,2018,6.8
Sugar beet,NL33,2018,77.1
Total potatoes,NL33,2018,43.3
Soft wheat,NL33,2018,9.2
